Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2009,"9,721","8,755",966,9.9,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2009,"5,568","5,021",547,9.8,,,,,,,,,,,,,,
DEKALB COUNTY,37,2009,"60,157","54,136","6,021",10.0,,,,,,,,,,,,,,
DE WITT COUNTY,39,2009,"8,817","8,066",751,8.5,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2009,"10,219","9,326",893,8.7,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2009,"525,702","480,627","45,075",8.6,,,,,,,,,,,,,,
EDGAR COUNTY,45,2009,"10,173","9,128","1,045",10.3,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2009,"3,108","2,824",284,9.1,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2009,"18,145","16,685","1,460",8.0,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2009,"10,119","9,005","1,114",11.0,,,,,,,,,,,,,,
FORD COUNTY,53,2009,"7,098","6,389",709,10.0,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2009,"17,682","15,376","2,306",13.0,,,,,,,,,,,,,,
FULTON COUNTY,57,2009,"18,498","16,395","2,103",11.4,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2009,"2,628","2,365",263,10.0,,,,,,,,,,,,,,
GREENE COUNTY,61,2009,"6,775","6,208",567,8.4,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2009,"26,702","23,440","3,262",12.2,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2009,"4,070","3,687",383,9.4,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2009,"9,438","8,389","1,049",11.1,,,,,,,,,,,,,,
HARDIN COUNTY,69,2009,"1,760","1,567",193,11.0,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2009,"3,800","3,437",363,9.6,,,,,,,,,,,,,,
HENRY COUNTY,73,2009,"26,772","24,315","2,457",9.2,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2009,"16,749","15,144","1,605",9.6,,,,,,,,,,,,,,
JACKSON COUNTY,77,2009,"32,119","29,774","2,345",7.3,,,,,,,,,,,,,,
JASPER COUNTY,79,2009,"4,942","4,488",454,9.2,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2009,"20,595","18,627","1,968",9.6,,,,,,,,,,,,,,
JERSEY COUNTY,83,2009,"11,544","10,460","1,084",9.4,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2009,"13,081","11,908","1,173",9.0,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2009,"5,095","4,559",536,10.5,,,,,,,,,,,,,,
KANE COUNTY,89,2009,"271,256","242,898","28,358",10.5,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2009,"56,196","49,319","6,877",12.2,,,,,,,,,,,,,,
KENDALL COUNTY,93,2009,"60,357","54,244","6,113",10.1,,,,,,,,,,,,,,
KNOX COUNTY,95,2009,"25,980","23,477","2,503",9.6,,,,,,,,,,,,,,
LAKE COUNTY,97,2009,"363,170","327,443","35,727",9.8,,,,,,,,,,,,,,
LASALLE COUNTY,99,2009,"59,434","52,189","7,245",12.2,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2009,"8,182","7,362",820,10.0,,,,,,,,,,,,,,
LEE COUNTY,103,2009,"18,308","16,391","1,917",10.5,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2009,"19,293","17,310","1,983",10.3,,,,,,,,,,,,,,
LOGAN COUNTY,107,2009,"13,354","12,116","1,238",9.3,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2009,"16,951","15,496","1,455",8.6,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2009,"181,149","163,369","17,780",9.8,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2009,"91,493","84,871","6,622",7.2,,,,,,,,,,,,,,
MACON COUNTY,115,2009,"54,824","48,534","6,290",11.5,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2009,"24,007","21,463","2,544",10.6,,,,,,,,,,,,,,
MADISON COUNTY,119,2009,"138,514","124,337","14,177",10.2,,,,,,,,,,,,,,
MARION COUNTY,121,2009,"18,338","16,151","2,187",11.9,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2009,"7,117","6,370",747,10.5,,,,,,,,,,,,,,
MASON COUNTY,125,2009,"7,573","6,642",931,12.3,,,,,,,,,,,,,,
MASSAC COUNTY,127,2009,"7,161","6,518",643,9.0,,,,,,,,,,,,,,
MENARD COUNTY,129,2009,"6,905","6,394",511,7.4,,,,,,,,,,,,,,
MERCER COUNTY,131,2009,"8,648","7,756",892,10.3,,,,,,,,,,,,,,
MONROE COUNTY,133,2009,"18,415","16,979","1,436",7.8,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2009,"13,332","11,749","1,583",11.9,,,,,,,,,,,,,,
MORGAN COUNTY,137,2009,"17,572","16,153","1,419",8.1,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2009,"7,857","7,173",684,8.7,,,,,,,,,,,,,,
OGLE COUNTY,141,2009,"27,507","24,082","3,425",12.5,,,,,,,,,,,,,,
PEORIA COUNTY,143,2009,"97,678","86,910","10,768",11.0,,,,,,,,,,,,,,
PERRY COUNTY,145,2009,"9,411","8,283","1,128",12.0,,,,,,,,,,,,,,
PIATT COUNTY,147,2009,"8,881","8,170",711,8.0,,,,,,,,,,,,,,
PIKE COUNTY,149,2009,"8,469","7,787",682,8.1,,,,,,,,,,,,,,
POPE COUNTY,151,2009,"1,901","1,704",197,10.4,,,,,,,,,,,,,,
PULASKI COUNTY,153,2009,"2,845","2,529",316,11.1,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2009,"3,306","2,857",449,13.6,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2009,"15,203","13,798","1,405",9.2,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2009,"7,275","6,543",732,10.1,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2009,"77,840","70,668","7,172",9.2,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2009,"124,016","110,497","13,519",10.9,,,,,,,,,,,,,,
SALINE COUNTY,165,2009,"12,658","11,404","1,254",9.9,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2009,"107,780","99,740","8,040",7.5,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2009,"4,229","3,945",284,6.7,,,,,,,,,,,,,,
SCOTT COUNTY,171,2009,"2,710","2,499",211,7.8,,,,,,,,,,,,,,
SHELBY COUNTY,173,2009,"11,139","10,042","1,097",9.8,,,,,,,,,,,,,,
STARK COUNTY,175,2009,"2,837","2,543",294,10.4,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2009,"25,080","22,221","2,859",11.4,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2009,"73,081","65,372","7,709",10.5,,,,,,,,,,,,,,
UNION COUNTY,181,2009,"8,112","7,204",908,11.2,,,,,,,,,,,,,,
VERMILION COUNTY,183,2009,"37,138","32,854","4,284",11.5,,,,,,,,,,,,,,
WABASH COUNTY,185,2009,"6,047","5,419",628,10.4,,,,,,,,,,,,,,
WARREN COUNTY,187,2009,"9,232","8,543",689,7.5,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,2009,"8,070","7,417",653,8.1,,,,,,,,,,,,,,
WAYNE COUNTY,191,2009,"8,135","7,324",811,10.0,,,,,,,,,,,,,,
WHITE COUNTY,193,2009,"7,697","7,035",662,8.6,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,2009,"30,420","27,271","3,149",10.4,,,,,,,,,,,,,,
WILL COUNTY,197,2009,"366,938","329,028","37,910",10.3,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,2009,"34,652","31,447","3,205",9.2,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,2009,"144,984","123,174","21,810",15.0,,,,,,,,,,,,,,
WOODFORD COUNTY,203,2009,"21,245","19,494","1,751",8.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2008,"38,756","36,907","1,849",4.8,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,2008,"3,108","2,814",294,9.5,,,,,,,,,,,,,,
BOND COUNTY,5,2008,"8,779","8,196",583,6.6,,,,,,,,,,,,,,
BOONE COUNTY,7,2008,"26,752","24,270","2,482",9.3,,,,,,,,,,,,,,
BROWN COUNTY,9,2008,"3,537","3,404",133,3.8,,,,,,,,,,,,,,
BUREAU COUNTY,11,2008,"19,294","18,126","1,168",6.1,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2008,"2,578","2,392",186,7.2,,,,,,,,,,,,,,
CARROLL COUNTY,15,2008,"8,507","7,955",552,6.5,,,,,,,,,,,,,,
CASS COUNTY,17,2008,"7,610","7,210",400,5.3,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2008,"105,661","99,814","5,847",5.5,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2008,"17,945","16,778","1,167",6.5,,,,,,,,,,,,,,
CLARK COUNTY,23,2008,"8,588","7,912",676,7.9,,,,,,,,,,,,,,
CLAY COUNTY,25,2008,"6,766","6,279",487,7.2,,,,,,,,,,,,,,
CLINTON COUNTY,27,2008,"19,322","18,143","1,179",6.1,,,,,,,,,,,,,,
COLES COUNTY,29,2008,"27,740","26,049","1,691",6.1,,,,,,,,,,,,,,
COOK COUNTY,31,2008,"2,615,675","2,447,178","168,497",6.4,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2008,"9,706","9,072",634,6.5,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2008,"5,653","5,250",403,7.1,,,,,,,,,,,,,,
DEKALB COUNTY,37,2008,"60,336","56,851","3,485",5.8,,,,,,,,,,,,,,
DE WITT COUNTY,39,2008,"8,651","8,141",510,5.9,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2008,"10,467","9,856",611,5.8,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2008,"529,285","502,976","26,309",5.0,,,,,,,,,,,,,,
EDGAR COUNTY,45,2008,"10,278","9,571",707,6.9,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2008,"3,284","3,076",208,6.3,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2008,"18,542","17,528","1,014",5.5,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2008,"10,234","9,435",799,7.8,,,,,,,,,,,,,,
FORD COUNTY,53,2008,"7,182","6,746",436,6.1,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2008,"17,928","16,281","1,647",9.2,,,,,,,,,,,,,,
FULTON COUNTY,57,2008,"17,958","16,784","1,174",6.5,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2008,"2,614","2,405",209,8.0,,,,,,,,,,,,,,
GREENE COUNTY,61,2008,"6,945","6,530",415,6.0,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2008,"26,237","24,348","1,889",7.2,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2008,"4,223","3,935",288,6.8,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2008,"9,859","9,189",670,6.8,,,,,,,,,,,,,,
HARDIN COUNTY,69,2008,"1,712","1,554",158,9.2,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2008,"3,909","3,629",280,7.2,,,,,,,,,,,,,,
HENRY COUNTY,73,2008,"27,596","25,928","1,668",6.0,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2008,"16,753","15,643","1,110",6.6,,,,,,,,,,,,,,
JACKSON COUNTY,77,2008,"32,470","30,647","1,823",5.6,,,,,,,,,,,,,,
JASPER COUNTY,79,2008,"5,201","4,864",337,6.5,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2008,"20,827","19,542","1,285",6.2,,,,,,,,,,,,,,
JERSEY COUNTY,83,2008,"11,790","11,045",745,6.3,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2008,"13,420","12,676",744,5.5,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2008,"5,121","4,713",408,8.0,,,,,,,,,,,,,,
KANE COUNTY,89,2008,"271,767","255,338","16,429",6.0,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2008,"55,903","51,242","4,661",8.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,2008,"59,585","56,150","3,435",5.8,,,,,,,,,,,,,,
KNOX COUNTY,95,2008,"25,565","23,925","1,640",6.4,,,,,,,,,,,,,,
LAKE COUNTY,97,2008,"371,016","347,350","23,666",6.4,,,,,,,,,,,,,,
LASALLE COUNTY,99,2008,"59,085","54,522","4,563",7.7,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2008,"8,290","7,682",608,7.3,,,,,,,,,,,,,,
LEE COUNTY,103,2008,"18,220","16,977","1,243",6.8,,,,,,,,,,,,,,
